METRO_NAME,EMPIRICAL_UNDERPRODUCTION_2012,EMPIRICAL_UNDERPRODUCTION_2013,EMPIRICAL_UNDERPRODUCTION_2014,EMPIRICAL_UNDERPRODUCTION_2015,EMPIRICAL_UNDERPRODUCTION_2016,EMPIRICAL_UNDERPRODUCTION_2017,EMPIRICAL_UNDERPRODUCTION_2018,EMPIRICAL_UNDERPRODUCTION_2019,EMPIRICAL_UNDERPRODUCTION_2021,EMPIRICAL_UNDERPRODUCTION_2022,EMPIRICAL_UNDERPRODUCTION_2023,HOUSEHOLDS_2012,HOUSEHOLDS_2013,HOUSEHOLDS_2014,HOUSEHOLDS_2015,HOUSEHOLDS_2016,HOUSEHOLDS_2017,HOUSEHOLDS_2018,HOUSEHOLDS_2019,HOUSEHOLDS_2021,HOUSEHOLDS_2022,HOUSEHOLDS_2023,HOUSING_UNITS_2012,HOUSING_UNITS_2013,HOUSING_UNITS_2014,HOUSING_UNITS_2015,HOUSING_UNITS_2016,HOUSING_UNITS_2017,HOUSING_UNITS_2018,HOUSING_UNITS_2019,HOUSING_UNITS_2021,HOUSING_UNITS_2022,HOUSING_UNITS_2023,ADJUSTED_HOUSING_UNITS_2012 ,ADJUSTED_HOUSING_UNITS_2013 ,ADJUSTED_HOUSING_UNITS_2014 ,ADJUSTED_HOUSING_UNITS_2015 ,ADJUSTED_HOUSING_UNITS_2016 ,ADJUSTED_HOUSING_UNITS_2017 ,ADJUSTED_HOUSING_UNITS_2018 ,ADJUSTED_HOUSING_UNITS_2019 ,ADJUSTED_HOUSING_UNITS_2021 ,ADJUSTED_HOUSING_UNITS_2022 ,ADJUSTED_HOUSING_UNITS_2023,UNINHABITABLE_UNITS_2012,UNINHABITABLE_UNITS_2013 ,UNINHABITABLE_UNITS_2014 ,UNINHABITABLE_UNITS_2015 ,UNINHABITABLE_UNITS_2016 ,UNINHABITABLE_UNITS_2017 ,UNINHABITABLE_UNITS_2018 ,UNINHABITABLE_UNITS_2019 ,UNINHABITABLE_UNITS_2021 ,UNINHABITABLE_UNITS_2022 ,PROBLEM_HOUSING_UNITS_2023,POPULATION_2012,POPULATION_2013,POPULATION_2014,POPULATION_2015,POPULATION_2016,POPULATION_2017,POPULATION_2018,POPULATION_2019,POPULATION_2021,POPULATION_2022,POPULATION_2023,MISSING_HOUSEHOLDS_2012,MISSING_HOUSEHOLDS_2013,MISSING_HOUSEHOLDS_2014,MISSING_HOUSEHOLDS_2015,MISSING_HOUSEHOLDS_2016,MISSING_HOUSEHOLDS_2017,MISSING_HOUSEHOLDS_2018,MISSING_HOUSEHOLDS_2019,MISSING_HOUSEHOLDS_2021,MISSING_HOUSEHOLDS_2022,MISSING_HOUSEHOLDS_2023,ANNUAL_PRODUCTION_2012,ANNUAL_PRODUCTION_2013,ANNUAL_PRODUCTION_2014,ANNUAL_PRODUCTION_2015,ANNUAL_PRODUCTION_2016,ANNUAL_PRODUCTION_2017,ANNUAL_PRODUCTION_2018,ANNUAL_PRODUCTION_2019,ANNUAL_PRODUCTION_2021,ANNUAL_PRODUCTION_2022,ANNUAL_PRODUCTION_2023,ANNUAL_PRODUCTION_SHARE_OF_UNITS_2012,ANNUAL_PRODUCTION_SHARE_OF_UNITS_2013,ANNUAL_PRODUCTION_SHARE_OF_UNITS_2014,ANNUAL_PRODUCTION_SHARE_OF_UNITS_2015,ANNUAL_PRODUCTION_SHARE_OF_UNITS_2016,ANNUAL_PRODUCTION_SHARE_OF_UNITS_2017,ANNUAL_PRODUCTION_SHARE_OF_UNITS_2018,ANNUAL_PRODUCTION_SHARE_OF_UNITS_2019,ANNUAL_PRODUCTION_SHARE_OF_UNITS_2021,ANNUAL_PRODUCTION_SHARE_OF_UNITS_2022,ANNUAL_PRODUCTION_SHARE_OF_UNITS_2023,UNDERPRODUCTION_SHARE_OF_UNITS_2012,UNDERPRODUCTION_SHARE_OF_UNITS_2013,UNDERPRODUCTION_SHARE_OF_UNITS_2014,UNDERPRODUCTION_SHARE_OF_UNITS_2015,UNDERPRODUCTION_SHARE_OF_UNITS_2016,UNDERPRODUCTION_SHARE_OF_UNITS_2017,UNDERPRODUCTION_SHARE_OF_UNITS_2018,UNDERPRODUCTION_SHARE_OF_UNITS_2019,UNDERPRODUCTION_SHARE_OF_UNITS_2021,UNDERPRODUCTION_SHARE_OF_UNITS_2022,UNDERPRODUCTION_SHARE_OF_UNITS_2023,UNDERPRODUCTION_SHARE_OF_UNITS_RANK_2012,UNDERPRODUCTION_SHARE_OF_UNITS_RANK_2013,UNDERPRODUCTION_SHARE_OF_UNITS_RANK_2014,UNDERPRODUCTION_SHARE_OF_UNITS_RANK_2015,UNDERPRODUCTION_SHARE_OF_UNITS_RANK_2016,UNDERPRODUCTION_SHARE_OF_UNITS_RANK_2017,UNDERPRODUCTION_SHARE_OF_UNITS_RANK_2018,UNDERPRODUCTION_SHARE_OF_UNITS_RANK_2019,UNDERPRODUCTION_SHARE_OF_UNITS_RANK_2021,UNDERPRODUCTION_SHARE_OF_UNITS_RANK_2022,UNDERPRODUCTION_SHARE_OF_UNITS_RANK_2023,BURDENED_2012,BURDENED_2013,BURDENED_2014,BURDENED_2015,BURDENED_2016,BURDENED_2017,BURDENED_2018,BURDENED_2019,BURDENED_2021,BURDENED_2022,BURDENED_2023,RENT_2012,RENT_2013,RENT_2014,RENT_2015,RENT_2016,RENT_2017,RENT_2018,RENT_2019,RENT_2021,RENT_2022,RENT_2023,VALUE_2012,VALUE_2013,VALUE_2014,VALUE_2015,VALUE_2016,VALUE_2017,VALUE_2018,VALUE_2019,VALUE_2021,VALUE_2022,VALUE_2023,VACATION_2012,VACATION_2013,VACATION_2014,VACATION_2015,VACATION_2016,VACATION_2017,VACATION_2018,VACATION_2019,VACATION_2021,VACATION_2022,VACATION_2023
"Oxnard-Thousand Oaks-Ventura, CA",22355.27,21254.08,26749.85,28153.61,26861.67,30434.47,32509.91,30985.54,36161.00,29014.73,32478.19,267875,265788,269868,269565,268092,272087,271978,268524,279170,278631,283718,277449,277204,279446,280149,280588,281037,286669,284839,288919,290407,293693,277204,276219,278704,279653,278843,279829,285212,282161,288126,289940,292619,245,985,742,496,1745,1208,1457,2678,793,467,1074,664566,670639,676747,684536,684189,689851,676598,676797,674787,675047,673699,17419.54538,17519.6906,21040.43059,23584.15099,23055.3035,23402.02321,30614.2932,29710.80288,29674.76408,25135.41048,25898.36688,NA,-245,2242,703,439,449,5632,-1830,2040,1488,3286,NA,-0.09%,0.80%,0.25%,0.16%,0.16%,1.96%,-0.64%,0.71%,0.51%,1.12%,8.06%,7.67%,9.57%,10.05%,9.57%,10.83%,11.34%,10.88%,12.52%,9.99%,11.06%,3,4,3,2,2,1,2,2,1,2,1,0.59770055,0.561523337,0.555640274,0.555151368,0.552707226,0.550443843,0.556265684,0.554752335,0.535193588,0.562335569,0.562224659,1438,1518,1505,1564,1647,1736,1747,1859,2032,2147,2264,413100,443700,483100,528700,561400,592500,614400,629600,691000,796300,820300,4518,5652,5242,5485,6421,6943,4541,6959,5724,5649,4313
"East Stroudsburg, PA",237.84,1310.01,-81.09,1863.30,3033.13,3254.25,4886.52,4141.60,2548.12,2608.94,7103.25,57561,58496,54405,55681,57284,57668,55109,56274,65906,58033,61129,63485,63916,63936,63241,63510,63579,63504,62653,72199,64800,65332,62654,63676,63009,62930,62650,63369,62493,62389,72060,64720,64161,831,240,927,311,860,210,1011,264,139,80,1171,138218,137834,138013,140092,139891,141749,141455,140223,140338,138222,137691,2335.987929,3395.434716,5526.342544,6026.903243,5271.358233,5782.709532,9061.968916,7088.472909,5149.355337,6089.797347,6741.718181,NA,431,20,-695,269,69,-75,-851,4773,-7399,532,NA,0.67%,0.03%,-1.10%,0.42%,0.11%,-0.12%,-1.36%,6.61%,-11.42%,0.81%,0.37%,2.05%,-0.13%,2.95%,4.78%,5.12%,7.69%,6.61%,3.53%,4.03%,10.87%,89,46,133,47,31,28,11,18,79,63,2,0.509552216,0.562256809,0.498367791,0.490486761,0.363154881,0.434793555,0.530821365,0.509516734,0.615163934,0.594476606,0.546944858,947,1031,1169,977,982,1090,1019,1199,1103,1196,1325,178400,176600,167800,166700,164200,164000,173500,177600,220900,260300,275300,16483,17026,17014,17129,17271,17693,18576,19553,NA,14764,14636
"Riverside-San Bernardino-Ontario, CA",49521.37,50535.88,69375.70,76986.47,95995.38,124138.43,136900.41,153372.48,160841.46,154010.36,163586.94,1285951,1297676,1317652,1343522,1348208,1344950,1366747,1379707,1441602,1443664,1474562,1396947,1406429,1421052,1436261,1435324,1436550,1456759,1473504,1501030,1514451,1535741,1386635,1396687,1412736,1426730,1424133,1421932,1445650,1461171,1491662,1505623,1525599,10312,9742,8316,9531,11191,14618,11109,12333,9368,8828,10142,3359391,3397362,3463622,3515955,3546905,3599651,3553666,3582805,3605335,3657862,3685721,81816.9718,80631.50312,93882.95193,88588.91934,99533.31308,127498.031,140443.8694,157953.4618,132210.8222,136939.1982,134186.5101,NA,9482,14623,15209,-937,1226,20209,16745,13763,13421,21290,NA,0.67%,1.03%,1.06%,-0.07%,0.09%,1.39%,1.14%,0.92%,0.89%,1.39%,3.54%,3.59%,4.88%,5.36%,6.69%,8.64%,9.40%,10.41%,10.72%,10.17%,10.65%,21,28,17,18,11,3,5,3,3,1,3,0.575981345,0.567858191,0.572105244,0.556436813,0.550686414,0.553685175,0.564330434,0.529023223,0.550035588,0.570701387,0.569066844,1094,1125,1159,1166,1235,1268,1321,1413,1552,1707,1850,214100,234000,272200,299300,318900,342300,360300,378500,453000,534900,552000,107599,108730,106678,102021,110924,122266,116823,115075,93162,95269,91726
"Merced, CA",-1555.77,1001.07,2090.63,1032.19,1514.45,3389.93,4827.31,7454.66,7053.23,8021.56,8167.07,76451,77651,79256,79098,77713,80969,79487,80644,84966,87830,88053,83042,83265,83723,83973,83614,85009,85300,86056,88837,89965,91681,82522,82307,82958,83397,82725,84115,83732,83507,88715,89876,90864,520,958,765,576,889,894,1568,2549,122,89,817,195016,198043,199063,200938,202580,206328,201018,204355,212272,217960,220987,659.6923945,1690.016297,1742.695154,1310.754272,2515.04486,2369.032145,4855.198365,5986.148374,6241.835797,5405.772386,6262.309222,NA,223,458,250,-359,1395,291,756,1390.5,1128,1716,NA,0.27%,0.55%,0.30%,-0.43%,1.64%,0.34%,0.88%,1.57%,1.25%,1.87%,-1.87%,1.20%,2.50%,1.23%,1.81%,3.99%,5.66%,8.66%,7.94%,8.92%,8.91%,177,72,46,89,84,41,32,6,9,4,4,0.505320946,0.503959352,0.48711638,0.521283206,0.434404608,0.493165216,0.453271153,0.400694696,0.475236358,0.447601547,0.515851731,834,864,858,874,899,1003,1023,1097,1160,1204,1294,138100,147200,173000,210100,231300,253700,261100,282900,345700,388300,409000,623,604,292,447,606,274,453,266,NA,NA,NA
"Madera, CA",1119.25,653.57,1568.06,27.63,-1260.26,1998.51,2817.37,2940.68,4250.70,3807.68,4077.61,41035,44549,42895,45224,44369,46282,44485,44387,44048,45539,46781,44544,46681,45846,48096,49152,48566,49462,48426,48284,49789,50753,43625,46521,45636,47540,48983,47361,48677,47566,48138,49482,50382,919,160,210,556,169,1205,785,860,146,307,371,115483,117331,118701,118714,118490,121420,112217,112784,115696,119290,120825,1578.567142,379.1598282,2061.246827,78.50183494,1081.227258,727.0573017,4557.252822,3714.596618,5845.998264,5213.075271,5085.298391,NA,2137,-835,2250,1056,-586,896,-1036,-71,1505,964,NA,4.58%,-1.82%,4.68%,2.15%,-1.21%,1.81%,-2.14%,-0.15%,3.02%,1.90%,2.51%,1.40%,3.42%,0.06%,-2.56%,4.12%,5.70%,6.07%,8.80%,7.65%,8.03%,40,64,31,126,225,37,31,29,5,10,5,0.539927184,0.481268771,0.515226437,0.510042253,0.538608198,0.583799848,0.401867414,0.457070395,0.531837553,0.538651956,NA,883,968,929,947,954,994,947,1028,1081,1189,NA,168800,174700,201100,232800,235400,240800,273500,294000,348500,396100,NA,4947,2967,4045,NA,1042,1906,1761,NA,1716,1251,NA
"Laredo, TX",8778.34,7454.28,8246.17,8331.96,8481.29,8496.09,10164.03,8373.44,9334.07,6849.04,6652.62,68980,68696,70418,72259,73483,74045,75301,76326,78730,82519,83044,73863,74994,76679,78183,80310,82271,82512,84592,85564,87553,88833,71399,71646,74982,76663,78354,79528,81187,81721,83567,86466,87337,2464,3348,1697,1520,1956,2743,1325,2871,1997,1087,1496,184049,186451,190499,193169,192474,198245,197022,198947,195124,196899,197513,7379.37027,6637.596741,8846.919806,8688.583595,9217.274506,9787.466914,11699.98071,9478.230309,9747.205629,6352.470067,6469.922075,NA,1131,1685,1504,2127,1961,241,2080,486,1989,1280,NA,1.51%,2.20%,1.92%,2.65%,2.38%,0.29%,2.46%,0.57%,2.27%,1.44%,11.88%,9.94%,10.75%,10.66%,10.56%,10.33%,12.32%,9.90%,10.91%,7.82%,7.49%,1,2,1,1,1,2,1,5,2,8,6,0.56839194,0.377282549,0.516238878,0.484545818,0.5372384,0.469662999,0.445153408,0.430424837,0.465024182,0.490997599,0.491991244,701,711,749,776,785,801,857,855,860,982,990,106600,107800,108600,117600,114000,133200,122300,145100,154500,171200,200800,1184,1332,1449,1742,1115,787,1890,1108,1122,881,729
"Provo-Orem, UT",8104.37,8372.09,10298.29,9209.83,11132.00,10622.22,12068.30,8734.43,13772.15,12176.61,15844.74,144465,146645,151010,155089,157750,164698,171117,178152,194260,204285,214806,150600,152171,156163,161675,164427,170959,178765,185458,199904,211976,219739,150270,151862,156016,161232,164066,170635,177569,185058,199325,211726,219362,330,309,147,443,361,324,1196,400,579,250,377,379057,386840,394244,406802,421231,432453,431942,445329,487310,506824,519377,6367.734029,5958.897679,7384.55852,7236.550452,9105.241461,7927.922359,9489.948374,6412.221989,8689.670498,8955.584077,9200.422102,NA,1571,3992,5512,2752,6532,7806,6693,7223,12072,7763,NA,1.03%,2.56%,3.41%,1.67%,3.82%,4.37%,3.61%,3.61%,5.69%,3.53%,5.38%,5.50%,6.59%,5.70%,6.77%,6.21%,6.75%,4.71%,6.89%,5.74%,7.21%,9,11,8,17,10,15,18,52,17,19,7,0.490536895,0.46769359,0.452461749,0.431952663,0.4330634,0.461297332,0.448960267,0.472881617,0.442078796,0.418644433,0.449380238,852,890,881,956,936,1008,1057,1121,1253,1375,1556,207800,220700,237600,251600,277000,296600,330100,360600,459500,546500,566900,1672,1853,1467,1147,2168,1554,1757,1403,2126,1044,890
"Port St. Lucie, FL",2023.16,-1038.68,1527.54,3787.23,1557.43,-2390.86,9227.01,5501.11,13584.14,11928.07,16087.51,170309,165882,171289,173912,174593,176540,181837,181914,200953,201086,214902,185557,187510,191768,191682,195542,202616,199042,201709,211221,216077,224800,184736,185029,190038,190258,194105,201954,198020,201381,210150,214777,223678,821,2481,1730,1424,1437,662,1022,328,1071,1300,1122,360199,367329,375859,381953,393431,398471,402811,407904,419935,435766,448753,7556.871026,9346.878405,11154.36765,10892.98463,11752.16751,13520.12892,15541.10676,15116.58111,12127.13449,14823.58676,13446.1028,NA,1953,4258,-86,3860,7074,-3574,2667,4756,4856,8723,NA,1.04%,2.22%,-0.04%,1.97%,3.49%,-1.80%,1.32%,2.25%,2.25%,3.88%,1.09%,-0.55%,0.80%,1.98%,0.80%,-1.18%,4.64%,2.73%,6.43%,5.52%,7.16%,75,138,95,70,109,175,54,93,20,22,8,0.572645024,0.52974654,0.59839415,0.508256296,0.589714738,0.572985863,0.57760872,0.467704114,0.585563571,0.579714531,0.619405259,927,947,1050,997,1094,1157,1254,1198,1267,1412,1679,133600,144700,151800,165800,183000,208300,233300,242600,283300,363600,385700,29788,28057,24177,25871,23218,18224,24524,25500,24128,27477,25914
"Visalia, CA",6486.85,5643.17,7219.99,5390.61,5753.61,8303.81,9036.84,6820.23,11410.28,9826.18,10817.07,132614,133409,132742,134802,135648,137576,139197,144111,143541,143128,145442,140722,142377,142980,144547,144963,146262,146743,149794,149206,150865,152014,137316,140584,139779,142526,143466,144201,144775,148497,148033,149378,150905,3406,1793,3201,2021,1497,2061,1968,1297,1173,1487,1109,331849,333669,336391,338920,341101,343107,340125,342174,353462,356604,359564,4341.093735,5854.968138,7257.039888,6070.960448,6465.916784,7666.674229,7290.465521,3810.166733,8309.747314,8495.032469,8579.022584,NA,1655,603,1567,416,1299,481,3051,-294,1659,1149,NA,1.16%,0.42%,1.08%,0.29%,0.89%,0.33%,2.04%,-0.20%,1.10%,0.76%,4.61%,3.96%,5.05%,3.73%,3.97%,5.68%,6.16%,4.55%,7.65%,6.51%,7.12%,12,23,13,37,43,19,24,53,11,15,9,0.523293382,0.540783856,0.484481334,0.547802387,0.488896922,0.535488654,0.533391471,0.440446798,0.469971292,0.498098283,0.493586506,810,811,829,853,869,911,905,1014,1061,1196,1277,155100,160400,170300,174300,186600,204300,220700,244700,276400,320500,339800,2607,2214,3114,1986,2439,2791,3295,1873,3360,3433,3191
"Los Angeles-Long Beach-Anaheim, CA",295249.10,317615.62,355565.38,376580.69,366804.21,388795.70,398725.99,388874.47,332275.12,338947.39,334396.73,4227032,4251497,4287976,4315640,4337803,4348545,4354306,4372681,4452784,4500951,4543004,4452565,4476598,4500163,4532528,4561980,4586911,4618679,4648628,4712044,4736858,4781430,4430095,4452618,4474987,4514071,4536139,4560551,4590196,4627267,4691698,4710573,4754921,22470,23980,25176,18457,25841,26360,28483,21361,20346,26285,26509,10513061,10624188,10763205,10863862,10866030,10929685,10673735,10634441,10506965,10476278,10436632,273295.7107,291582.6361,312550.0725,342123.5169,331666.7236,365118.5239,397048.2779,404596.5904,331952.3035,308116.0356,303965.2659,NA,24033,23565,32365,29452,24931,31768,29949,31708,24814,44572,NA,0.54%,0.52%,0.71%,0.65%,0.54%,0.69%,0.64%,0.67%,0.52%,0.93%,6.63%,7.10%,7.90%,8.31%,8.04%,8.48%,8.63%,8.37%,7.05%,7.16%,6.99%,6,7,5,4,6,4,7,8,16,12,10,NA,0.567267009,0.567975814,0.557908597,0.551739869,0.550059985,0.541621703,0.534142558,0.551444295,0.552681799,0.550889126,NA,1265,1309,1348,1403,1476,1565,1655,1786,1887,1993,NA,453500,494900,540600,578200,617100,650300,666900,748700,847400,867200,NA,45277,53855,51862,48902,57119,53819,48958,46788,51009,47092
